　,PU,*,*,　
消费类,NN,*,*,消费类
消费量,NN,*,*,消费量
消费品,NN,*,*,消费品
消费税,NN,*,*,消费税
消费性,NN,*,*,消费性
消费者,NN,*,*,消费者
消耗,NN,*,*,消耗
消耗,VV,*,*,消耗
消化,NN,*,*,消化
消极,JJ,*,*,消极
消减,VV,*,*,消减
消磨,VV,*,*,消磨
消遣,NN,*,*,消遣
消失,NN,*,*,消失
消失,VV,*,*,消失
消失无踪,VV,*,*,消失无踪
消逝,NN,*,*,消逝
消息,NN,*,*,消息
消炎,VV,*,*,消炎
消弭,VV,*,*,消弭
宵禁,NN,*,*,宵禁
晓,VV,*,*,晓
晓春,NR,PER,GIV,晓春
晓得,VV,*,*,晓得
晓东,NR,PER,GIV,晓东
晓光,NR,PER,GIV,晓光
晓红,NR,PER,GIV,晓红
晓华,NR,PER,GIV,晓华
晓灵,NR,PER,GIV,晓灵
晓梅,NR,PER,GIV,晓梅
晓明,NR,PER,GIV,晓明
晓清,NR,PER,GIV,晓清
晓松,NR,PER,GIV,晓松
晓阳,NR,PER,GIV,晓阳
晓郁,NR,PER,GIV,晓郁
晓钟,NR,PER,GIV,晓钟
晓子,NR,PER,GIV,晓子
晓蕙,NR,PER,GIV,晓蕙
晓岚,NR,PER,GIV,晓岚
小,AD,*,*,小
小,JJ,*,*,小
小,NN,*,*,小
小,VA,*,*,小
小巴,NN,*,*,小巴
小班制,NN,*,*,小班制
小兵,NN,*,*,小兵
小吃,NN,*,*,小吃
小吃摊,NN,*,*,小吃摊
小丑,NN,*,*,小丑
小道,NN,*,*,小道
小额,JJ,*,*,小额
小儿科,NN,*,*,小儿科
小儿麻痹,NN,*,*,小儿麻痹
小贩,NN,*,*,小贩
小芬,NR,PER,GIV,小芬
小幅,AD,*,*,小幅
小工,NN,*,*,小工
小狗,NN,*,*,小狗
小姑独处,VV,*,*,小姑独处
小光,NR,PER,GIV,小光
小孩,NN,*,*,小孩
小黄鱼,NN,*,*,小黄鱼
小回转,NN,*,*,小回转
小伙子,NN,*,*,小伙子
小将,NN,*,*,小将
小轿车,NN,*,*,小轿车
小姐,NN,*,*,小姐
小酒,NN,*,*,小酒
小看,VV,*,*,小看
小康,JJ,*,*,小康
小康,NN,*,*,小康
小可,NR,PER,GIV,小可
小浪底,NR,LOC,*,小浪底
小林,NR,PER,FAM,小林
小楼,NN,*,*,小楼
小略,NR,PER,GIV,小略
小麦,NN,*,*,小麦
小美,NR,ORG,*,小美
小民,NR,PER,GIV,小民
小盘,NN,*,*,小盘
小品,NN,*,*,小品
小平,NR,PER,GIV,小平
小气,NN,*,*,小气
小气,VA,*,*,小气
小气财神,NN,*,*,小气财神
小汽车,NN,*,*,小汽车
小青,NR,PER,GIV,小青
小三,NN,*,*,小三
小三通,VV,*,*,小三通
小时,AD,*,*,小时
小时,M,*,*,小时
小时,NN,*,*,小时
小时候,AD,*,*,小时候
小时候,NN,*,*,小时候
小时候,NT,NOR,*,小时候
小说,NN,*,*,小说
小说集,NN,*,*,小说集
小说家,NN,*,*,小说家
小提琴,NN,*,*,小提琴
小腿,NN,*,*,小腿
小五,NN,*,*,小五
小媳妇,NN,*,*,小媳妇
小宪法,NN,*,*,小宪法
小小,JJ,*,*,小小
小小,VA,*,*,小小
小心,AD,*,*,小心
小心,NN,*,*,小心
小心,VA,*,*,小心
小心,VV,*,*,小心
小心翼翼,VA,*,*,小心翼翼
小型,JJ,*,*,小型
小型张,NN,*,*,小型张
小学,NN,*,*,小学
小学生,NN,*,*,小学生
小野,NR,PER,OTH,小野
小于,VV,*,*,小于
小渊,NR,PER,FAM,小渊
小云,NR,PER,GIV,小云
小镇,NN,*,*,小镇
小众,NN,*,*,小众
小篆,NN,*,*,小篆
小子,NN,*,*,小子
小组,NN,*,*,小组
小组长,NN,*,*,小组长
小组赛,NN,*,*,小组赛
小觑,VV,*,*,小觑
小鬈,NN,*,*,小鬈
孝,NN,*,*,孝
孝,VV,*,*,孝
孝充,NR,PER,GIV,孝充
孝慈,NR,PER,GIV,孝慈
孝道,NN,*,*,孝道
孝亲,NN,*,*,孝亲
孝泉,NR,PER,GIV,孝泉
孝通,NR,PER,GIV,孝通
孝之,NR,PER,GIV,孝之
校,NN,*,*,校
校本,NN,*,*,校本
校长,NN,*,*,校长
校地,NN,*,*,校地
校服,NN,*,*,校服
校舍,NN,*,*,校舍
校训,NN,*,*,校训
校友,NN,*,*,校友
校友会,NN,*,*,校友会
校园,NN,*,*,校园
校址,NN,*,*,校址
肖,NR,PER,FAM,肖
肖厝,NR,LOC,*,肖厝
笑,NN,*,*,笑
笑,VV,*,*,笑
笑傲江湖,VV,*,*,笑傲江湖
笑道,VV,*,*,笑道
笑脸,NN,*,*,笑脸
笑料,NN,*,*,笑料
笑闹,VV,*,*,笑闹
笑容,NN,*,*,笑容
笑声,NN,*,*,笑声
笑谈,NN,*,*,笑谈
笑谈,VV,*,*,笑谈
笑眼,NN,*,*,笑眼
笑意,NN,*,*,笑意
笑予,NR,PER,GIV,笑予
效,NN,*,*,效
效仿,VV,*,*,效仿
效果,NN,*,*,效果
效力,NN,*,*,效力
效力,VV,*,*,效力
效力于,VV,*,*,效力于
效率,NN,*,*,效率
效能,NN,*,*,效能
效能,VA,*,*,效能
效益,NN,*,*,效益
效益型,NN,*,*,效益型
效应,NN,*,*,效应
效用,NN,*,*,效用
效政,NR,PER,GIV,效政
效忠,VV,*,*,效忠
楔横轧,NN,*,*,楔横轧
些,AD,*,*,些
些,CD,NOR,*,些
些,M,*,*,些
些微,JJ,*,*,些微
些许,CD,NOR,*,些许
歇,VV,*,*,歇
歇息,VV,*,*,歇息
鞋,NN,*,*,鞋
鞋厂,NN,*,*,鞋厂
鞋类,NN,*,*,鞋类
鞋袜,NN,*,*,鞋袜
鞋业,NN,*,*,鞋业
鞋子,NN,*,*,鞋子
协办,NN,*,*,协办
协办,VV,*,*,协办
协调,AD,*,*,协调
协调,NN,*,*,协调
协调,VA,*,*,协调
协调,VV,*,*,协调
协调会,NN,*,*,协调会
协调人,NN,*,*,协调人
协定,NN,*,*,协定
协防,VV,*,*,协防
协和,NR,ORG,*,协和
协会,NN,*,*,协会
协建,VV,*,*,协建
协进会,NN,*,*,协进会
协进社,NN,*,*,协进社
协理,NN,*,*,协理
协力厂,NN,*,*,协力厂
协拍,VV,*,*,协拍
协商,NN,*,*,协商
协商,VV,*,*,协商
协同,VV,*,*,协同
协议,NN,*,*,协议
协议额,NN,*,*,协议额
协议书,NN,*,*,协议书
协助,NN,*,*,协助
协助,VV,*,*,协助
协作,JJ,*,*,协作
协作,NN,*,*,协作
协作会,NN,*,*,协作会
挟,VV,*,*,挟
挟持,VV,*,*,挟持
挟怨,VV,*,*,挟怨
携,VV,*,*,携
携带,VV,*,*,携带
携带者,NN,*,*,携带者
携家带眷,VV,*,*,携家带眷
携手,VV,*,*,携手
斜,JJ,*,*,斜
斜风,NN,*,*,斜风
斜拉,JJ,*,*,斜拉
斜坡,NN,*,*,斜坡
胁迫,VV,*,*,胁迫
谐音,VV,*,*,谐音
写,NN,*,*,写
写,VV,*,*,写
写成,VV,*,*,写成
写出,VV,*,*,写出
写到,VV,*,*,写到
写道,VV,*,*,写道
写好,VV,*,*,写好
写明,VV,*,*,写明
写去,VV,*,*,写去
写上,VV,*,*,写上
写实,NN,*,*,写实
写实,VA,*,*,写实
写实,VV,*,*,写实
写实剧,NN,*,*,写实剧
写完,VV,*,*,写完
写下,VV,*,*,写下
写信,VV,*,*,写信
写真集,NN,*,*,写真集
写字楼,NN,*,*,写字楼
写作,NN,*,*,写作
写作,VV,*,*,写作
械,NN,*,*,械
卸,VV,*,*,卸
卸货,VV,*,*,卸货
卸任,VV,*,*,卸任
卸下,VV,*,*,卸下
懈怠,VV,*,*,懈怠
泄洪,NN,*,*,泄洪
泄密,VV,*,*,泄密
谢,NR,PER,FAM,谢
谢,VV,*,*,谢
谢尔博,NR,PER,FOR,谢尔博
谢尔盖恩科夫,NR,PER,FOR,谢尔盖恩科夫
谢夫隆,NR,ORG,*,谢夫隆
谢里法,NR,PER,FOR,谢里法
谢天谢地,VV,*,*,谢天谢地
谢谢,VV,*,*,谢谢
谢辛,NR,PER,FOR,谢辛
谢意,NN,*,*,谢意
薪水,NN,*,*,薪水
芯片,NN,*,*,芯片
锌,NN,*,*,锌
欣评,NR,PER,GIV,欣评
欣然,AD,*,*,欣然
欣赏,NN,*,*,欣赏
欣赏,VV,*,*,欣赏
欣慰,VA,*,*,欣慰
欣慰,VV,*,*,欣慰
欣喜,VA,*,*,欣喜
欣喜,VV,*,*,欣喜
欣欣向荣,VV,*,*,欣欣向荣
欣姿芳,NR,ORG,*,欣姿芳
辛,NR,PER,GIV,辛
辛布拉文,NR,LOC,*,辛布拉文
辛苦,AD,*,*,辛苦
辛苦,JJ,*,*,辛苦
辛苦,NN,*,*,辛苦
辛苦,VA,*,*,辛苦
辛劳,NN,*,*,辛劳
辛勤,AD,*,*,辛勤
辛勤,VV,*,*,辛勤
辛酸,JJ,*,*,辛酸
辛酸,NN,*,*,辛酸
辛酸,VV,*,*,辛酸
新,AD,*,*,新
新,JJ,*,*,新
新,NN,*,*,新
新,NR,LOC,*,新
新,NR,LOC,SP,新
新,VA,*,*,新
新案,NN,*,*,新案
新堡市,NR,LOC,*,新堡市
新宝天洋,NR,ORG,*,新宝天洋
新兵,NR,PER,GIV,新兵
新藏,NR,LOC,*,新藏
新厂,NN,*,*,新厂
新超,NR,PER,GIV,新超
新潮,JJ,*,*,新潮
新潮,VA,*,*,新潮
新陈代谢,NN,*,*,新陈代谢
新春,NN,*,*,新春
新春愉快,VV,*,*,新春愉快
新村,NN,*,*,新村
新党,NR,ORG,*,新党
新德里,NR,LOC,*,新德里
新点,NN,*,*,新点
新房,NN,*,*,新房
新港,NN,*,*,新港
新股,NN,*,*,新股
新贵,NN,*,*,新贵
新河,NR,PER,GIV,新河
新华,NR,ORG,*,新华
新华,NR,PER,GIV,新华
新华社,NR,ORG,*,新华社
新婚,JJ,*,*,新婚
新机,NN,*,*,新机
新加坡,NR,LOC,*,新加坡
新加坡籍,JJ,*,*,新加坡籍
新建,JJ,*,*,新建
新建,NN,*,*,新建
新建,VV,*,*,新建
新疆,NR,LOC,*,新疆
新疆棉,NN,*,*,新疆棉
新界,NR,LOC,*,新界
新近,AD,*,*,新近
新境,NN,*,*,新境
新居,NN,*,*,新居
新喀里多尼亚,NR,LOC,*,新喀里多尼亚
新开,NR,ORG,*,新开
新考,NR,PER,GIV,新考
新科,JJ,*,*,新科
新力,NR,ORG,*,新力
新路,NN,*,*,新路
新帽,NN,*,*,新帽
新梅,NR,PER,GIV,新梅
新墨西哥州,NR,LOC,*,新墨西哥州
新年,NN,*,*,新年
新年,NT,NOR,*,新年
新派,JJ,*,*,新派
新批,VV,*,*,新批
新品,NN,*,*,新品
新奇,NN,*,*,新奇
新奇,VA,*,*,新奇
新签,VV,*,*,新签
新桥,NR,ORG,*,新桥
新区,NN,*,*,新区
新曲,NN,*,*,新曲
新人,NN,*,*,新人
新任,JJ,*,*,新任
新锐,JJ,*,*,新锐
新社,NR,LOC,*,新社
新生,NN,*,*,新生
新生代,NN,*,*,新生代
新生儿,NN,*,*,新生儿
新生儿科,NN,*,*,新生儿科
新式,JJ,*,*,新式
新手,NN,*,*,新手
新手们,NN,*,*,新手们
新四军,NR,OTH,*,新四军
新台币,NN,*,*,新台币
新闻,NN,*,*,新闻
新闻处,NN,*,*,新闻处
新闻稿,NN,*,*,新闻稿
新闻界,NN,*,*,新闻界
新闻局,NN,*,*,新闻局
新闻社,NN,*,*,新闻社
新闻网,NN,*,*,新闻网
新西伯利亚,NR,LOC,*,新西伯利亚
新西兰,NR,LOC,*,新西兰
新西兰队,NR,OTH,*,新西兰队
新鲜,JJ,*,*,新鲜
新鲜,VA,*,*,新鲜
新鲜人,NN,*,*,新鲜人
新鞋,NN,*,*,新鞋
新新旧旧,AD,*,*,新新旧旧
新新闻,NR,ORG,*,新新闻
新兴,JJ,*,*,新兴
新兴,VA,*,*,新兴
新兴,VV,*,*,新兴
新型,JJ,*,*,新型
新修,VV,*,*,新修
新秀,NN,*,*,新秀
新血,NN,*,*,新血
新页,NN,*,*,新页
新衣,NN,*,*,新衣
新意,NN,*,*,新意
新翼,NN,*,*,新翼
新颖,VA,*,*,新颖
新泽西,NR,LOC,*,新泽西
新增,NN,*,*,新增
新增,VV,*,*,新增
新知,NN,*,*,新知
新洲县,NR,LOC,*,新洲县
新竹,NR,LOC,*,新竹
新竹市,NR,LOC,*,新竹市
新竹县,NR,LOC,*,新竹县
新竹县市,NR,LOC,*,新竹县市
新著,NN,*,*,新著
新庄,NN,*,*,新庄
新作,NN,*,*,新作
心,NN,*,*,心
心爱,VV,*,*,心爱
心病,NN,*,*,心病
心存,VV,*,*,心存
心得,NN,*,*,心得
心地,NN,*,*,心地
心动,VV,*,*,心动
心法,NN,*,*,心法
心防,NN,*,*,心防
心肺,NN,*,*,心肺
心腹大患,NN,*,*,心腹大患
心甘情愿,VV,*,*,心甘情愿
心肝宝贝,NN,*,*,心肝宝贝
心花怒放,VV,*,*,心花怒放
心慌,NN,*,*,心慌
心灰意冷,VV,*,*,心灰意冷
心肌,NN,*,*,心肌
心肌梗塞,NN,*,*,心肌梗塞
心急,VV,*,*,心急
心悸,VV,*,*,心悸
心洁,NR,PER,GIV,心洁
心结,NN,*,*,心结
心惊,NN,*,*,心惊
心惊肉跳,VV,*,*,心惊肉跳
心境,NN,*,*,心境
心理,NN,*,*,心理
心理系,NN,*,*,心理系
心理学,NN,*,*,心理学
心理学系,NN,*,*,心理学系
心里,NN,*,*,心里
心力,NN,*,*,心力
心连心,VV,*,*,心连心
心灵,NN,*,*,心灵
心路,NN,*,*,心路
心率,NN,*,*,心率
心目,NN,*,*,心目
心念,NN,*,*,心念
心皮,NN,*,*,心皮
心情,NN,*,*,心情
心事,NN,*,*,心事
心思,NN,*,*,心思
心态,NN,*,*,心态
心疼,NN,*,*,心疼
心头,NN,*,*,心头
心胸,NN,*,*,心胸
心血,NN,*,*,心血
心眼,NN,*,*,心眼
心仪,VV,*,*,心仪
心音,NN,*,*,心音
心有疑虑,VV,*,*,心有疑虑
心愿,NN,*,*,心愿
心脏,NN,*,*,心脏
心脏病,NN,*,*,心脏病
心志,NN,*,*,心志
信,NN,*,*,信
信,VV,*,*,信
信报,NR,ORG,*,信报
信贷,NN,*,*,信贷
信封,NN,*,*,信封
信奉,VV,*,*,信奉
信服,VV,*,*,信服
信鸽,NR,ORG,*,信鸽
信函,NN,*,*,信函
信号,NN,*,*,信号
信件,NN,*,*,信件
信赖,NN,*,*,信赖
信赖,VA,*,*,信赖
信良,NR,PER,GIV,信良
信念,NN,*,*,信念
信任,NN,*,*,信任
信任,VV,*,*,信任
信手拈来,VV,*,*,信手拈来
信守,VV,*,*,信守
信条,NN,*,*,信条
信徒,NN,*,*,信徒
信托,JJ,*,*,信托
信托,NN,*,*,信托
信息,NN,*,*,信息
信息化,JJ,*,*,信息化
信息流,NN,*,*,信息流
信息网,NN,*,*,信息网
信箱,NN,*,*,信箱
信邪,VV,*,*,信邪
信心,NN,*,*,信心
信兴,NR,OTH,*,信兴
信仰,NN,*,*,信仰
信仰,VV,*,*,信仰
信义,NR,PER,GIV,信义
信义路,NR,LOC,*,信义路
信谊,NR,OTH,*,信谊
信用,NN,*,*,信用
信用,VA,*,*,信用
信用卡,NN,*,*,信用卡
信用证,NN,*,*,信用证
信誉,NN,*,*,信誉
信忠,NR,PER,GIV,信忠
信众,NN,*,*,信众
星,NN,*,*,星
星,NR,LOC,*,星
星巴克,NR,ORG,*,星巴克
星报,NR,ORG,*,星报
星光,NN,*,*,星光
星华,NR,PER,GIV,星华
星火,NR,ORG,*,星火
星级,JJ,*,*,星级
星罗棋布,VV,*,*,星罗棋布
星期,NN,*,*,星期
星期二,NT,NOR,*,星期二
星期六,NT,NOR,*,星期六
星期日,NT,NOR,*,星期日
星期三,NT,NOR,*,星期三
星期四,NT,NOR,*,星期四
星期五,NT,NOR,*,星期五
星期一,NT,NOR,*,星期一
星桥,NR,PER,GIV,星桥
星球,NN,*,*,星球
星文,NR,PER,GIV,星文
星星,NN,*,*,星星
星友,NR,ORG,*,星友
星云,NR,PER,OTH,星云
腥臭味,NN,*,*,腥臭味
猩猩,NN,*,*,猩猩
兴,VV,*,*,兴
兴办,VV,*,*,兴办
兴昌,NR,PER,GIV,兴昌
兴长,NR,PER,GIV,兴长
兴川,NR,PER,GIV,兴川
兴东,NR,ORG,*,兴东
兴奋,NN,*,*,兴奋
兴奋,VA,*,*,兴奋
兴奋,VV,*,*,兴奋
兴华,NR,ORG,*,兴华
兴华,NR,PER,GIV,兴华
兴家,VV,*,*,兴家
兴建,NN,*,*,兴建
兴建,VV,*,*,兴建
兴利,VV,*,*,兴利
兴票,NR,OTH,*,兴票
兴票案,NN,*,*,兴票案
兴起,NN,*,*,兴起
兴起,VV,*,*,兴起
兴趣,NN,*,*,兴趣
兴趣缺缺,VV,*,*,兴趣缺缺
兴荣,NN,*,*,兴荣
兴盛,NN,*,*,兴盛
兴盛,VV,*,*,兴盛
兴师问罪,NN,*,*,兴师问罪
兴师问罪,VV,*,*,兴师问罪
兴衰,NN,*,*,兴衰
兴堂,NR,PER,GIV,兴堂
兴旺,JJ,*,*,兴旺
兴旺,NN,*,*,兴旺
兴旺,VA,*,*,兴旺
兴修,VV,*,*,兴修
兴洋,NR,ORG,*,兴洋
兴业,NR,ORG,*,兴业
兴业,VV,*,*,兴业
兴致,NN,*,*,兴致
兴致勃勃,VV,*,*,兴致勃勃
刑案,NN,*,*,刑案
刑罚,NN,*,*,刑罚
刑法,NN,*,*,刑法
刑法典,NN,*,*,刑法典
刑警,NN,*,*,刑警
刑律,NN,*,*,刑律
刑事,NN,*,*,刑事
刑事局,NN,*,*,刑事局
刑诉法,NN,*,*,刑诉法
刑责,NN,*,*,刑责
型,M,*,*,型
型,NN,*,*,型
型号,NN,*,*,型号
型态,NN,*,*,型态
形,NN,*,*,形
形,VV,*,*,形
形成,NN,*,*,形成
形成,VV,*,*,形成
形貌,NN,*,*,形貌
形容,VV,*,*,形容
形如,VV,*,*,形如
形式,JJ,*,*,形式
形式,NN,*,*,形式
形式多样,VV,*,*,形式多样
形势,NN,*,*,形势
形似,VV,*,*,形似
形塑,VV,*,*,形塑
形态,NN,*,*,形态
形体,NN,*,*,形体
形同,VV,*,*,形同
形象,NN,*,*,形象
形形色色,VV,*,*,形形色色
形影不离,NN,*,*,形影不离
形状,NN,*,*,形状
邢,NR,PER,FAM,邢
行,M,*,*,行
行,NN,*,*,行
行,NR,PER,GIV,行
行,VA,*,*,行
行,VV,*,*,行
行草,NN,*,*,行草
行长,NN,*,*,行长
行车,NN,*,*,行车
行程,NN,*,*,行程
行程,VV,*,*,行程
行刀,VV,*,*,行刀
行到,VV,*,*,行到
行动,NN,*,*,行动
行动,VV,*,*,行动
行动力,NN,*,*,行动力
行洪区,NN,*,*,行洪区
行家,NN,*,*,行家
行家们,NN,*,*,行家们
行健,NR,PER,GIV,行健
行将,AD,*,*,行将
行脚,NN,*,*,行脚
行经,VV,*,*,行经
行径,NN,*,*,行径
行军,VV,*,*,行军
行控,JJ,*,*,行控
行库,NN,*,*,行库
行李,NN,*,*,行李
行礼如仪,VV,*,*,行礼如仪
行列,NN,*,*,行列
行期,NN,*,*,行期
行情,NN,*,*,行情
行尸走肉,NN,*,*,行尸走肉
行使,VV,*,*,行使
行驶,VV,*,*,行驶
行事,NN,*,*,行事
行事,VV,*,*,行事
行书,NN,*,*,行书
行署,NN,*,*,行署
行讨,VV,*,*,行讨
行头,NN,*,*,行头
行为,NN,*,*,行为
行销,NN,*,*,行销
行销,VV,*,*,行销
行销案,NN,*,*,行销案
行星,NN,*,*,行星
行雄,NR,PER,GIV,行雄
行业,NN,*,*,行业
行业性,JJ,*,*,行业性
行谊,NN,*,*,行谊
行云流水,VV,*,*,行云流水
行政,NN,*,*,行政
行政,VV,*,*,行政
行政费,NN,*,*,行政费
行政局,NN,*,*,行政局
行政科,NN,*,*,行政科
行政区,NN,*,*,行政区
行政院,NR,ORG,*,行政院
行之无碍,VV,*,*,行之无碍
行之有年,VV,*,*,行之有年
行之有效,VA,*,*,行之有效
行之有效,VV,*,*,行之有效
行忠堂,NR,ORG,*,行忠堂
行舟,VV,*,*,行舟
行走,VV,*,*,行走
醒,VV,*,*,醒
醒鼻,VV,*,*,醒鼻
醒酒,VV,*,*,醒酒
醒目,VA,*,*,醒目
醒目,VV,*,*,醒目
幸,VV,*,*,幸
幸春,NR,PER,GIV,幸春
幸存,VV,*,*,幸存
幸存者,NN,*,*,幸存者
幸而,AD,*,*,幸而
幸福,NN,*,*,幸福
幸福,VA,*,*,幸福
幸福感,NN,*,*,幸福感
幸好,AD,*,*,幸好
幸亏,AD,*,*,幸亏
幸免于,VV,*,*,幸免于
幸运,NN,*,*,幸运
幸运,VA,*,*,幸运
幸运儿,NN,*,*,幸运儿
幸之助,NR,PER,GIV,幸之助
杏红,NR,PER,GIV,杏红
杏如,NR,PER,GIV,杏如
性,NN,*,*,性
性爱,NN,*,*,性爱
性别,NN,*,*,性别
性病,NN,*,*,性病
性感,NN,*,*,性感
性格,NN,*,*,性格
性命,NN,*,*,性命
性能,NN,*,*,性能
性情,NN,*,*,性情
性事,NN,*,*,性事
性向,NN,*,*,性向
性欲,NN,*,*,性欲
性质,NN,*,*,性质
姓,NN,*,*,姓
姓,VV,*,*,姓
姓名,NN,*,*,姓名
兄,NN,*,*,兄
兄长,NN,*,*,兄长
兄弟,NN,*,*,兄弟
兄弟会,NN,*,*,兄弟会
兄弟们,NN,*,*,兄弟们
兄妹,NN,*,*,兄妹
凶恶,VA,*,*,凶恶
凶悍,VA,*,*,凶悍
凶狠,VA,*,*,凶狠
凶猛,VA,*,*,凶猛
凶手,NN,*,*,凶手
胸,NN,*,*,胸
胸花,NN,*,*,胸花
胸怀,NN,*,*,胸怀
胸肌,NN,*,*,胸肌
胸径,NN,*,*,胸径
胸围,NN,*,*,胸围
胸无大志,VV,*,*,胸无大志
匈牙利,NR,LOC,*,匈牙利
匈牙利队,NR,OTH,*,匈牙利队
汹涌,VA,*,*,汹涌
汹涌,VV,*,*,汹涌
雄,JJ,*,*,雄
雄,NN,*,*,雄
雄,NR,PER,GIV,雄
雄柏,NR,PER,GIV,雄柏
雄风,NN,*,*,雄风
雄风,NR,OTH,*,雄风
雄关,NN,*,*,雄关
雄厚,JJ,*,*,雄厚
雄厚,VA,*,*,雄厚
雄心,NN,*,*,雄心
雄壮,VA,*,*,雄壮
雄赳赳,VA,*,*,雄赳赳
熊,NN,*,*,熊
熊,NR,PER,FAM,熊
熊,VA,*,*,熊
熊猫,NN,*,*,熊猫
熊熊,VA,*,*,熊熊
休,VV,*,*,休
休班,VV,*,*,休班
休兵,NN,*,*,休兵
休兵,VV,*,*,休兵
休假,VV,*,*,休假
休眠,VV,*,*,休眠
休戚与共,VV,*,*,休戚与共
休士顿,NR,LOC,*,休士顿
休斯,NR,PER,FOR,休斯
休息,NN,*,*,休息
休息,VV,*,*,休息
休息室,NN,*,*,休息室
休息站,NN,*,*,休息站
休闲,JJ,*,*,休闲
休闲,NN,*,*,休闲
休闲,VV,*,*,休闲
休闲处,NN,*,*,休闲处
休闲地,NN,*,*,休闲地
休闲服,NN,*,*,休闲服
休闲衫,NN,*,*,休闲衫
休闲衣,NN,*,*,休闲衣
休养生息,VV,*,*,休养生息
休整,NN,*,*,休整
休止符,NN,*,*,休止符
修,VV,*,*,修
修补,VV,*,*,修补
修才,NR,PER,GIV,修才
修长,VA,*,*,修长
修船,VV,*,*,修船
修到,VV,*,*,修到
修订,NN,*,*,修订
修订,VV,*,*,修订
修读,VV,*,*,修读
修复,NN,*,*,修复
修复,VV,*,*,修复
修改,NN,*,*,修改
修改,VV,*,*,修改
修好,VV,*,*,修好
修护族,NN,*,*,修护族
修建,VV,*,*,修建
修理,VV,*,*,修理
修良,NR,PER,GIV,修良
修路,VV,*,*,修路
修桥,VV,*,*,修桥
修容派,NN,*,*,修容派
修缮,NN,*,*,修缮
修饰,NN,*,*,修饰
修饰,VV,*,*,修饰
修习,VV,*,*,修习
修宪,NN,*,*,修宪
修宪,VV,*,*,修宪
修宪案,NN,*,*,修宪案
修宪租,NN,*,*,修宪租
修学,NN,*,*,修学
修整,NN,*,*,修整
修正,NN,*,*,修正
修正,VV,*,*,修正
修正案,NN,*,*,修正案
修纂,NN,*,*,修纂
修葺,NN,*,*,修葺
朽,VA,*,*,朽
嗅,NN,*,*,嗅
嗅,VV,*,*,嗅
嗅到,VV,*,*,嗅到
嗅觉,NN,*,*,嗅觉
秀,NN,*,*,秀
秀才,NN,*,*,秀才
秀出,VV,*,*,秀出
秀发,NN,*,*,秀发
秀姑峦,NR,LOC,*,秀姑峦
秀华,NR,PER,GIV,秀华
秀莲,NR,PER,GIV,秀莲
秀峦,NR,LOC,*,秀峦
秀峦村,NR,LOC,*,秀峦村
秀苗,NN,*,*,秀苗
秀明,NR,PER,GIV,秀明
秀琴,NR,PER,GIV,秀琴
秀全,NR,PER,GIV,秀全
秀英,NR,PER,GIV,秀英
秀屿,NR,LOC,*,秀屿
秀屿港,NR,LOC,*,秀屿港
秀元,NR,PER,GIV,秀元
绣洞,NN,*,*,绣洞
绣屏,NN,*,*,绣屏
绣完,VV,*,*,绣完
绣鞋,NN,*,*,绣鞋
需,NN,*,*,需
需,VV,*,*,需
需金孔急,VV,*,*,需金孔急
需求,NN,*,*,需求
需求量,NN,*,*,需求量
需要,NN,*,*,需要
需要,VA,*,*,需要
需要,VV,*,*,需要
虚,AD,*,*,虚
虚构,VV,*,*,虚构
虚耗,VV,*,*,虚耗
虚幻感,NN,*,*,虚幻感
虚级化,NN,*,*,虚级化
虚级化,VV,*,*,虚级化
虚假,VA,*,*,虚假
虚拟,JJ,*,*,虚拟
虚拟,VV,*,*,虚拟
虚妄,NN,*,*,虚妄
虚妄,VA,*,*,虚妄
虚无,VA,*,*,虚无
虚盈实亏,NN,*,*,虚盈实亏
须,VV,*,*,须
须根,NN,*,*,须根
须要,VV,*,*,须要
须知,NN,*,*,须知
徐,NR,PER,FAM,徐
徐福记,NR,ORG,*,徐福记
徐顺,NR,PER,GIV,徐顺
徐徐,AD,*,*,徐徐
徐州,NR,LOC,*,徐州
许,NR,PER,FAM,许
许,VV,*,*,许
许多,AD,*,*,许多
许多,CD,NOR,*,许多
许久,NN,*,*,许久
许可,NN,*,*,许可
许可证,NN,*,*,许可证
许诺,NN,*,*,许诺
许诺,VV,*,*,许诺
蓄洪,NN,*,*,蓄洪
蓄积,VV,*,*,蓄积
蓄积量,NN,*,*,蓄积量
蓄谋,AD,*,*,蓄谋
蓄热,VV,*,*,蓄热
蓄水库,NN,*,*,蓄水库
蓄意,AD,*,*,蓄意
酗酒,NN,*,*,酗酒
酗酒,VV,*,*,酗酒
叙,NR,LOC,*,叙
叙定,NR,PER,GIV,叙定
叙旧,VV,*,*,叙旧
叙利亚,NR,LOC,*,叙利亚
叙事,NN,*,*,叙事
叙述,VV,*,*,叙述
旭峰,NR,ORG,*,旭峰
旭立,NR,PER,GIV,旭立
旭明,NR,PER,GIV,旭明
旭日,NN,*,*,旭日
旭上,NR,ORG,*,旭上
旭正,NR,PER,GIV,旭正
序,NN,*,*,序
序幕,NN,*,*,序幕
序曲,NN,*,*,序曲
序言,NN,*,*,序言
畜,NN,*,*,畜
畜产,NN,*,*,畜产
畜产品,NN,*,*,畜产品
畜牧,NN,*,*,畜牧
畜牧业,NN,*,*,畜牧业
绪中,NR,PER,GIV,绪中
续,VV,*,*,续
续建,NN,*,*,续建
